# zmin,zmax, thetamin,thetamax, lambdamin,lambdamax, timemin,timemax, wxmin,wxmax, wzmin,wzmax, val,relerr
10.4,11.6, 61,61.5, 0,0.1, 0,0.1, 0.85,0.88, 0.01,0.03, 7.10756e+19,1.87859
16.4,17.6, 58,58.5, 0,0.1, 0,0.1, 0.85,0.88, 0,0.01, 3.47622e+19,3.69035
10.4,11.6, 57.5,58, 0,0.1, 0,0.1, 0.65,0.7, 0.01,0.03, 4.12817e+18,3.73642
9.2,10.4, 61,61.5, 0,0.1, 0,0.1, 0.75,0.8, 0.05,0.07, 2.21909e+18,7.62937
10.4,11.6, 57.5,58, 0,0.1, 0,0.1, 0.7,0.75, 0.03,0.05, 5.33563e+18,5.79948
12.8,14, 58,58.5, 0,0.1, 0,0.1, 0.7,0.75, 0.01,0.03, 1.07228e+19,2.811
17.6,18.8, 58.5,59, 0,0.1, 0,0.1, 0.7,0.75, 0,0.01, 2.5784e+18,8.6873
16.4,17.6, 57,57.5, 0,0.1, 0,0.1, 0.7,0.75, 0,0.01, 1.14575e+19,3.87599
16.4,17.6, 57.5,58, 0,0.1, 0,0.1, 0.7,0.75, 0,0.01, 1.01107e+19,3.63896
16.4,17.6, 61,61.5, 0,0.1, 0,0.1, 0.75,0.8, 0.01,0.03, 1.63714e+19,2.2286
15.2,16.4, 61,61.5, 0,0.1, 0,0.1, 0.75,0.8, 0.01,0.03, 1.64379e+19,2.32665
15.2,16.4, 60,60.5, 0,0.1, 0,0.1, 0.75,0.8, 0.01,0.03, 1.68114e+19,2.41381
10.4,11.6, 59.5,60, 0,0.1, 0,0.1, 0.75,0.8, 0.03,0.05, 6.23278e+18,4.32227
16.4,17.6, 58.5,59, 0,0.1, 0,0.1, 0.75,0.8, 0,0.01, 1.30542e+19,3.90743
12.8,14, 61,61.5, 0,0.1, 0,0.1, 0.75,0.8, 0.01,0.03, 1.2942e+19,2.46694
15.2,16.4, 59,59.5, 0,0.1, 0,0.1, 0.75,0.8, 0.01,0.03, 1.77137e+19,2.3346
9.2,10.4, 57.5,58, 0,0.1, 0,0.1, 0.7,0.75, 0.05,0.07, 1.96195e+18,7.58037
14,15.2, 57.5,58, 0,0.1, 0,0.1, 0.7,0.75, 0.01,0.03, 1.11564e+19,2.53999
12.8,14, 61.5,62, 0,0.1, 0,0.1, 0.8,0.85, 0.01,0.03, 1.51369e+19,2.86238
9.2,10.4, 58.5,59, 0,0.1, 0,0.1, 0.75,0.8, 0,0.01, 2.90633e+18,8.77302
18.8,20, 58,58.5, 0,0.1, 0,0.1, 0.75,0.8, 0.05,0.07, 4.41445e+18,5.06477
16.4,17.6, 58.5,59, 0,0.1, 0,0.1, 0.75,0.8, 0.05,0.07, 1.31693e+18,9.91002
10.4,11.6, 59,59.5, 0,0.1, 0,0.1, 0.75,0.8, 0,0.01, 1.73998e+19,4.38669
10.4,11.6, 59,59.5, 0,0.1, 0,0.1, 0.75,0.8, 0.03,0.05, 7.32441e+18,4.53404
11.6,12.8, 59.5,60, 0,0.1, 0,0.1, 0.75,0.8, 0.03,0.05, 3.21652e+18,8.40287
9.2,10.4, 59.5,60, 0,0.1, 0,0.1, 0.8,0.85, 0.05,0.07, 3.39645e+18,6.30808
9.2,10.4, 60,60.5, 0,0.1, 0,0.1, 0.8,0.85, 0.05,0.07, 3.22034e+18,7.80242
9.2,10.4, 57,57.5, 0,0.1, 0,0.1, 0.8,0.85, 0.05,0.07, 4.68127e+18,8.96907
8,9.2, 57.5,58, 0,0.1, 0,0.1, 0.8,0.85, 0.03,0.05, 1.98301e+19,2.45604
9.2,10.4, 59,59.5, 0,0.1, 0,0.1, 0.85,0.88, 0.05,0.07, 4.48974e+18,6.74077
10.4,11.6, 57.5,58, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 1.58564e+19,6.0829
17.6,18.8, 59.5,60, 0,0.1, 0,0.1, 0.75,0.8, 0.05,0.07, 2.49917e+18,8.4371
15.2,16.4, 57.5,58, 0,0.1, 0,0.1, 0.75,0.8, 0.03,0.05, 3.57326e+18,7.02895
14,15.2, 59.5,60, 2.2,2.4, 1.1,1.2, 0.88,0.9, 0,0.01, 1.98346e+18,9.70619
14,15.2, 58,58.5, 1.3,1.4, 0.6,0.7, 0.8,0.85, 0,0.01, 2.34804e+18,7.67454
